state,best_model,best_mape
Alabama,XGBoost,2.7547325016051083
Arizona,SARIMA,2.1178123506538635
Arkansas,SARIMA,2.07710818456346
California,SARIMA,3.0160473559898553
Colorado,SARIMA,2.965201991157221
Connecticut,XGBoost,1.6102944830569448
Florida,LSTM,2.3645800397019903
Georgia,XGBoost,1.3429478504052126
Illinois,LSTM,1.2236185294128044
Indiana,SARIMA,2.327152249853345
Iowa,LSTM,1.5384966437395124
Kansas,LSTM,1.0181029212921184
Kentucky,SARIMA,2.3599557636751936
Louisiana,LSTM,2.5583864034936394
Maine,XGBoost,0.522041548986712
Maryland,SARIMA,2.804666009978459
Massachusetts,SARIMA,2.4989324524020646
Michigan,XGBoost,1.0345199232833142
Minnesota,XGBoost,1.3142734742979558
Mississippi,XGBoost,0.9168861512382748
Missouri,SARIMA,1.7833840732978792
Nebraska,LSTM,1.3789858469006842
Nevada,SARIMA,2.98647912708239
New Hampshire,XGBoost,2.3552339155993107
New Mexico,SARIMA,3.483480858389995
New York,LSTM,1.4172893773243898
North Carolina,SARIMA,2.526850795528188
Ohio,SARIMA,2.5433553479276205
Oklahoma,SARIMA,2.0191150027879563
Oregon,LSTM,1.1008389845299151
Pennsylvania,LSTM,0.9588336074380535
Rhode Island,XGBoost,1.649161302473992
South Carolina,SARIMA,2.3226380838502356
South Dakota,XGBoost,2.2841845931956173
Tennessee,SARIMA,2.3245382528572454
Texas,XGBoost,2.0819640632405583
Utah,SARIMA,2.456566976642239
Vermont,XGBoost,0.9632586550364197
Virginia,SARIMA,1.8980743786896397
Washington,SARIMA,2.9933664299108345
West Virginia,SARIMA,2.8316140026455496
Wisconsin,LSTM,0.7347182028211334
Wyoming,XGBoost,1.1986734264096794
