model,state,mae,rmse,mape
SARIMA,Alabama,6274374.924536303,9673106.754936421,3.0056618233261214
SARIMA,Arizona,4892010.873867445,6740829.307192691,2.1178123506538635
SARIMA,Arkansas,2358040.0745837577,3544386.470937751,2.07710818456346
SARIMA,California,26602914.366100237,34404634.93087463,3.0160473559898553
SARIMA,Colorado,5349130.270005673,7810652.219394299,2.965201991157221
SARIMA,Connecticut,2215498.870980788,2929351.1016866006,2.411575259052401
SARIMA,Florida,38401456.35567045,44167205.608943954,5.011952467480558
SARIMA,Georgia,13737478.73172418,17980497.010533415,3.611860663676131
SARIMA,Illinois,7651137.384988017,11014513.507377556,2.3056624156490533
SARIMA,Indiana,5246099.619658403,7174944.798989108,2.327152249853345
SARIMA,Iowa,1962121.0301259216,3016837.531229103,1.6580467397178715
SARIMA,Kansas,1692581.9765862636,2739310.0855475822,1.799034357613374
SARIMA,Kentucky,4155292.460919276,6010053.986218571,2.3599557636751936
SARIMA,Louisiana,5952226.855358731,9986905.41731339,3.1444948522785605
SARIMA,Maine,2020204.0455580251,2527166.974926085,4.313196560463002
SARIMA,Maryland,4615269.675744835,5545212.376914867,2.804666009978459
SARIMA,Massachusetts,4736750.923109133,6586508.172803993,2.4989324524020646
SARIMA,Michigan,6542912.908982903,8869902.336018462,2.2184533122112713
SARIMA,Minnesota,3470098.918712586,4930962.210725615,2.1958351451852662
SARIMA,Mississippi,5061199.188491777,6387248.911867746,4.042114348527264
SARIMA,Missouri,3573758.729829844,5819077.569236864,1.7833840732978792
SARIMA,Nebraska,4690604.101843669,4841553.204042911,7.225664073170508
SARIMA,Nevada,3128937.8029895704,4217808.790891965,2.98647912708239
SARIMA,New Hampshire,1367352.8620130233,1908446.7140086805,2.403862472393021
SARIMA,New Mexico,2610031.1189628188,3460864.2629995854,3.483480858389995
SARIMA,New York,10709477.31095533,14032160.064945325,2.4141810659500433
SARIMA,North Carolina,9293786.55781579,12402060.199694315,2.526850795528188
SARIMA,Ohio,9707843.264947169,13699359.493222388,2.5433553479276205
SARIMA,Oklahoma,3044859.7508154176,4565732.721194253,2.0191150027879563
SARIMA,Oregon,3930383.693547249,4445222.277744065,3.3250593330292304
SARIMA,Pennsylvania,8770512.671937801,11284956.836198153,2.3810731137702215
SARIMA,Rhode Island,532471.7281609979,767279.5868025463,1.964433803527901
SARIMA,South Carolina,4660440.444697276,6695964.662868978,2.3226380838502356
SARIMA,South Dakota,697326.5636859802,932590.814141276,2.412125997772568
SARIMA,Tennessee,6158031.6566325165,8376845.165722423,2.3245382528572454
SARIMA,Texas,29442639.339351833,42292338.25637042,3.1888350485036874
SARIMA,Utah,2098613.423324719,3099203.160094721,2.456566976642239
SARIMA,Vermont,453954.25757624675,564820.8849581045,2.4891975679413085
SARIMA,Virginia,5665006.731400862,8210646.359519436,1.8980743786896397
SARIMA,Washington,5690128.0091868825,6914065.798489941,2.9933664299108345
SARIMA,West Virginia,2220967.040536264,2667290.657158321,2.8316140026455496
SARIMA,Wisconsin,2812088.100518044,4336387.3010652885,1.7666799423733928
SARIMA,Wyoming,1068239.371091879,1157163.3640478146,5.0027282220862554
Prophet,Alabama,6844934.835443929,8621352.782823542,3.293112974117244
Prophet,Arizona,10111923.786998574,11194055.725632219,4.384288719468064
Prophet,Arkansas,4743069.904201359,5432358.8722083615,4.182222204176589
Prophet,California,37071428.96342397,48603494.59583384,4.205342961270439
Prophet,Colorado,8500735.444359146,9879155.769751573,4.746184202454676
Prophet,Connecticut,3324540.5815429855,3970511.8665555976,3.6072092210735227
Prophet,Florida,21468527.556712568,36908873.68194202,2.7157285126804704
Prophet,Georgia,10937817.052321017,15955269.81926367,2.849971388096472
Prophet,Illinois,17001740.860413782,18724098.869133677,5.159697428731577
Prophet,Indiana,8630012.478185974,9777895.953455184,3.8248642840254936
Prophet,Iowa,5685625.770515928,6073218.25892601,4.804788637464408
Prophet,Kansas,4165495.3788739666,4751641.85902942,4.421204211766566
Prophet,Kentucky,5544773.333453614,6732175.048067564,3.1489681944674777
Prophet,Louisiana,6973363.336066179,8836106.481283369,3.71881569186326
Prophet,Maine,3251654.095201238,3623101.3879509005,6.973500297784482
Prophet,Maryland,5488305.17245698,7194461.800361224,3.315447167117605
Prophet,Massachusetts,8355391.221187182,9522334.594156861,4.4239414435423425
Prophet,Michigan,11989681.92731738,13939077.07443552,4.075295794306745
Prophet,Minnesota,7715548.411830105,8342308.977481617,4.8779509713410745
Prophet,Mississippi,12305167.45590074,12906043.651565867,9.895368801934513
Prophet,Missouri,7761780.447283782,8647910.771248454,3.873942939703221
Prophet,Nebraska,7630742.880349074,7678579.146098428,11.755070022594772
Prophet,Nevada,4642210.08411737,5879181.562808435,4.4419337203015425
Prophet,New Hampshire,3669795.163445848,3914944.1201777495,6.480310429158209
Prophet,New Mexico,3472273.319392722,4075317.4308034466,4.644510471758545
Prophet,New York,20347590.824897684,23076519.66270912,4.596040562552213
Prophet,North Carolina,15542116.03185863,19150534.227405418,4.236983055924516
Prophet,Ohio,15453108.61040122,18340872.684535757,4.063133367482083
Prophet,Oklahoma,5726391.604333736,6514072.775527948,3.797328902184126
Prophet,Oregon,8536551.6186584,8991488.786964698,7.222156301458521
Prophet,Pennsylvania,12084451.89473264,14379762.6820629,3.2762118633994657
Prophet,Rhode Island,1354503.9818108948,1493239.7273782645,4.996715980826476
Prophet,South Carolina,9040457.674830303,10562669.794380147,4.52373183973505
Prophet,South Dakota,2214260.494460362,2283513.17815602,7.662374600096336
Prophet,Tennessee,7868644.91555129,9414593.5383815,2.9677603668773602
Prophet,Texas,34321672.81152229,43659294.927665874,3.726292909784286
Prophet,Utah,4415096.721899489,5014311.6192449825,5.1971611578918315
Prophet,Vermont,852066.6351743122,942598.3151177387,4.6736236896555186
Prophet,Virginia,10046425.150182106,12138281.06607423,3.3747512812805116
Prophet,Washington,11198494.075315185,12033669.24262879,5.894419742172695
Prophet,West Virginia,3960848.9073175956,4260287.704050153,5.049692255569888
Prophet,Wisconsin,8598638.69259812,9161828.940578682,5.395824759967603
Prophet,Wyoming,1283494.9148940928,1422728.6221946084,6.015826492195628
XGBoost,Alabama,5810890.412500005,9528564.859018352,2.7547325016051083
XGBoost,Arizona,22209153.275000017,24440123.014738265,9.62948826294682
XGBoost,Arkansas,4242615.125000009,4962223.365192637,3.7332874489909664
XGBoost,California,45617075.06249997,54480388.38601969,5.193484847296282
XGBoost,Colorado,10952563.912500016,13756294.088070942,6.1013490701735575
XGBoost,Connecticut,1497985.3000000045,2018630.838318479,1.6102944830569448
XGBoost,Florida,42443344.962500006,65604662.316919394,5.420372820493204
XGBoost,Georgia,5267101.074999988,10261235.307711197,1.3429478504052126
XGBoost,Illinois,14151695.987499997,17040842.49134417,4.273665018347636
XGBoost,Indiana,6081851.712500006,7369996.358491696,2.6849461533022874
XGBoost,Iowa,7834087.112500008,8491775.261993475,6.621326588975626
XGBoost,Kansas,6037220.862500016,6574454.055231609,6.4206505470712605
XGBoost,Kentucky,6022409.174999997,7177228.808102918,3.417385204321029
XGBoost,Louisiana,6296272.987500001,9279962.766357323,3.3310516694612673
XGBoost,Maine,242496.9249999998,310972.71855040727,0.522041548986712
XGBoost,Maryland,5048913.400000017,7163967.709988686,3.027844147052224
XGBoost,Massachusetts,5465597.96250001,6779292.429616517,2.8775911735389
XGBoost,Michigan,3038456.662500024,3816471.8363326243,1.0345199232833142
XGBoost,Minnesota,2081797.3874999993,2767364.07114895,1.3142734742979558
XGBoost,Mississippi,1163634.8125000019,2059005.8029344543,0.9168861512382748
XGBoost,Missouri,5190793.512499992,5640226.977683139,2.591110313874507
XGBoost,Nebraska,5193946.2124999985,5804652.960664209,8.011892129766549
XGBoost,Nevada,4142676.512499988,4961458.353109119,3.9669832442141306
XGBoost,New Hampshire,1340947.6499999985,1641666.698205787,2.3552339155993107
XGBoost,New Mexico,5434157.325000009,6379052.827330249,7.272035159076537
XGBoost,New York,7494021.537500009,10627797.559824165,1.676389287365671
XGBoost,North Carolina,15529972.549999997,18450788.81821003,4.236661854839962
XGBoost,Ohio,12484303.062500007,14514898.95750021,3.286302774602898
XGBoost,Oklahoma,12299876.812499981,13435248.573086653,8.154171346307306
XGBoost,Oregon,8817606.050000008,9626197.113441203,7.462300020518435
XGBoost,Pennsylvania,7271878.024999939,9143506.394440088,1.9636554937223893
XGBoost,Rhode Island,447054.49999999674,533168.1054057875,1.649161302473992
XGBoost,South Carolina,9312015.549999986,10782355.868941942,4.65812367047442
XGBoost,South Dakota,660109.0000000005,724471.9168864732,2.2841845931956173
XGBoost,Tennessee,10137746.83750002,11894354.69963022,3.8250933689098425
XGBoost,Texas,18959416.33749996,23478391.16403057,2.0819640632405583
XGBoost,Utah,2127438.137500001,2910015.39534194,2.482527137556378
XGBoost,Vermont,175892.45000000065,212342.19029769037,0.9632586550364197
XGBoost,Virginia,18836141.4,21089330.909228627,6.340080709891256
XGBoost,Washington,12310681.812500007,13618148.608799467,6.480693190552662
XGBoost,West Virginia,6012657.374999991,6757636.037454701,7.665767964566301
XGBoost,Wisconsin,4454925.774999995,5449401.418741934,2.788501447425811
XGBoost,Wyoming,258880.67500000214,437548.10554192937,1.1986734264096794
LightGBM,Alabama,14324223.681331702,17327795.61822601,6.9581829571889475
LightGBM,Arizona,15857306.184463385,17183094.32349322,6.874996551344541
LightGBM,Arkansas,5648233.534910815,7050547.472429529,4.9607105438137085
LightGBM,California,37652748.4779882,48521285.783388585,4.267620324746614
LightGBM,Colorado,10355686.26468864,13188247.865087831,5.763757237370754
LightGBM,Connecticut,4058129.243530581,5321797.420081532,4.3674861415612485
LightGBM,Florida,46040445.27601081,62135676.00162767,5.934710218447742
LightGBM,Georgia,11723960.838194959,18511952.13762877,3.032802491273509
LightGBM,Illinois,14493352.269938558,17107900.954678886,4.380223213365313
LightGBM,Indiana,6055393.841488212,9012356.226390883,2.6573170846478114
LightGBM,Iowa,7147710.268135481,7869726.125450729,6.04087943703095
LightGBM,Kansas,3740404.5423019137,4101988.2574413633,3.9747239609761635
LightGBM,Kentucky,9305605.337659601,11491806.475099334,5.2707455329586494
LightGBM,Louisiana,8609148.08667146,12039724.40180561,4.5662264787375975
LightGBM,Maine,2041719.0827682568,2474815.0727618854,4.374519209060752
LightGBM,Maryland,5224593.335397847,7570251.111989608,3.1287119829543353
LightGBM,Massachusetts,12200069.866901059,14416802.099054622,6.438109124631213
